mechanism,dynamic_mode,run,timestep,alpha,friction
Equal Voice,learning,0,0,0.8911959789588535,21.66880362034387
Equal Voice,learning,0,1,0.9187804904591071,14.025316469601279
Equal Voice,learning,0,2,0.9252453919596021,12.185431732944593
Equal Voice,learning,0,3,0.9346802363084429,9.116481726430084
Equal Voice,learning,0,4,0.9409705198287154,8.45553377508954
Equal Voice,learning,0,5,0.9422292413174751,7.826865797033052
Equal Voice,learning,0,6,0.9397202117600794,8.270489424965566
Equal Voice,learning,0,7,0.9402186548002648,7.415444247859502
Equal Voice,learning,0,8,0.940993824065485,7.121135844989033
Equal Voice,learning,0,9,0.942836442891698,6.615142663021429
Equal Voice,learning,0,10,0.9462687801868188,5.58278525092794
Equal Voice,learning,0,11,0.9466593621896557,6.149481300132011
Equal Voice,learning,0,12,0.9497244656355155,4.900061673248324
Equal Voice,learning,0,13,0.9514845009365707,4.8830975517990325
Equal Voice,learning,0,14,0.9533023288694364,4.520786551580967
Equal Voice,learning,0,15,0.9549686252692846,4.251772396299631
Equal Voice,learning,0,16,0.9578944657643782,3.4518427589927487
Equal Voice,learning,0,17,0.9579423433492025,4.206677561320638
Equal Voice,learning,0,18,0.961102608206289,3.043771525190188
Equal Voice,learning,0,19,0.9620614851182656,3.30496261840675
Equal Voice,learning,0,20,0.9628710896799278,3.1961814558773685
Equal Voice,learning,0,21,0.9651298464961994,2.7508990326087206
Equal Voice,learning,0,22,0.96601678165223,2.72725133436977
Equal Voice,learning,0,23,0.966686384630623,2.6760280715289664
Equal Voice,learning,0,24,0.9671606335318838,2.6425458319135378
Equal Voice,learning,0,25,0.9679480066002597,2.416964231618488
Equal Voice,learning,0,26,0.968729358850074,2.2998135929467036
Equal Voice,learning,0,27,0.9693556056933272,2.249817982516844
Equal Voice,learning,0,28,0.9690712316203017,2.5561618477901393
Equal Voice,learning,0,29,0.9699239098392466,2.0436418508663716
Equal Voice,learning,0,30,0.9704784388510114,2.0574833766893987
Equal Voice,learning,0,31,0.9710392465749802,1.9728755213086355
Equal Voice,learning,0,32,0.9717107817294729,1.8755741632551426
Equal Voice,learning,0,33,0.9723879315541878,1.8644897570263737
Equal Voice,learning,0,34,0.9726421941718671,1.8551574143458096
Equal Voice,learning,0,35,0.9725793942402768,1.9528116950003767
Equal Voice,learning,0,36,0.9729316115580506,1.7964365887795224
Equal Voice,learning,0,37,0.9730828226228829,1.8380998991022721
Equal Voice,learning,0,38,0.9726635060661236,2.010211154132168
Equal Voice,learning,0,39,0.9729974709447806,1.7488606417738481
Equal Voice,learning,0,40,0.9746027812275363,1.7653719822825378
Equal Voice,learning,0,41,0.9752649690824277,1.5320894150569746
Equal Voice,learning,0,42,0.975580317060695,1.5498146071117962
Equal Voice,learning,0,43,0.975511750869999,1.6571818542559942
Equal Voice,learning,0,44,0.9763261867833076,1.5040056198916187
Equal Voice,learning,0,45,0.9758883437187833,1.7300240856110831
Equal Voice,learning,0,46,0.9768135402956878,1.4866884503796571
Equal Voice,learning,0,47,0.9769655771117401,1.4442458817427302
Equal Voice,learning,0,48,0.9776977827451118,1.4132898532170195
Equal Voice,learning,0,49,0.9781066462280801,1.4410938788379346
Equal Voice,learning,1,0,0.6244469100361133,39.96696030551318
Equal Voice,learning,1,1,0.632799926562072,25.910631231616918
Equal Voice,learning,1,2,0.6367647569040646,19.440218117201518
Equal Voice,learning,1,3,0.6387466017183268,15.520463926779787
Equal Voice,learning,1,4,0.6404520128731152,13.006987198258262
Equal Voice,learning,1,5,0.6415855783608246,11.140227781337256
Equal Voice,learning,1,6,0.6420033672190526,9.697194694931502
Equal Voice,learning,1,7,0.6432582665333695,8.857513581633748
Equal Voice,learning,1,8,0.644368151566005,8.007698306341412
Equal Voice,learning,1,9,0.6451805366070538,7.196030018300233
Equal Voice,learning,1,10,0.6454504352903319,6.489728007733309
Equal Voice,learning,1,11,0.6456212259591612,5.984201308708924
Equal Voice,learning,1,12,0.6460144522633697,5.600468968208838
Equal Voice,learning,1,13,0.6464785755251359,5.262220827045625
Equal Voice,learning,1,14,0.6468131760701576,4.907114600717776
Equal Voice,learning,1,15,0.6469267654331221,4.582771687706322
Equal Voice,learning,1,16,0.6472670207006572,4.381956257673883
Equal Voice,learning,1,17,0.6475040766759149,4.128312292743474
Equal Voice,learning,1,18,0.6477138248404337,3.9196170858956285
Equal Voice,learning,1,19,0.6476646115908365,3.6949720333506044
Equal Voice,learning,1,20,0.6477910927094583,3.5522959423035023
Equal Voice,learning,1,21,0.647886519659091,3.3948159897201027
Equal Voice,learning,1,22,0.6479355724587332,3.2477763570806792
Equal Voice,learning,1,23,0.6479955393122694,3.120444605975618
Equal Voice,learning,1,24,0.6479797309158993,2.990105965353408
Equal Voice,learning,1,25,0.6479332772401645,2.8757449319267905
Equal Voice,learning,1,26,0.6480441804530512,2.797664489961736
Equal Voice,learning,1,27,0.6480683770383493,2.687946719097729
Equal Voice,learning,1,28,0.6481832460273578,2.6157594858353748
Equal Voice,learning,1,29,0.6481168957009926,2.5032569758065115
Equal Voice,learning,1,30,0.6481983728358733,2.4459553238793865
Equal Voice,learning,1,31,0.6482203320176618,2.363452498732406
Equal Voice,learning,1,32,0.6484584130862552,2.383376610057537
Equal Voice,learning,1,33,0.6486262005130745,2.2738514828817213
Equal Voice,learning,1,34,0.6486987265363847,2.175462936612647
Equal Voice,learning,1,35,0.6487462931975339,2.112505712899482
Equal Voice,learning,1,36,0.6488086669712395,2.0597403331561868
Equal Voice,learning,1,37,0.6489498691881856,2.037650474660139
Equal Voice,learning,1,38,0.6490605113273127,1.972707228487236
Equal Voice,learning,1,39,0.6489416719746125,1.8915746870658916
Equal Voice,learning,1,40,0.6489909477251052,1.8627206699062482
Equal Voice,learning,1,41,0.6490829871652004,1.832040961281178
Equal Voice,learning,1,42,0.649156569586963,1.785817883062551
Equal Voice,learning,1,43,0.649281831985622,1.7703330186077908
Equal Voice,learning,1,44,0.6492378430598613,1.6878113279321565
Equal Voice,learning,1,45,0.6491540159496905,1.6492870715155168
Equal Voice,learning,1,46,0.6491458063386938,1.6226946916684357
Equal Voice,learning,1,47,0.6491275820618757,1.5881575670643464
Equal Voice,learning,1,48,0.6491371360351228,1.5606045064555707
Equal Voice,learning,1,49,0.6491626928603338,1.5325051044445273
Equal Voice,learning,2,0,0.9025546995696627,25.033159315094803
Equal Voice,learning,2,1,0.9236065183536143,17.34404135325129
Equal Voice,learning,2,2,0.9350529025535057,13.861547279816339
Equal Voice,learning,2,3,0.9410173099420632,11.506106088963426
Equal Voice,learning,2,4,0.9449555965872388,9.71681861154243
Equal Voice,learning,2,5,0.9480994155001568,8.506849625012032
Equal Voice,learning,2,6,0.9504948074385847,7.639357133868018
Equal Voice,learning,2,7,0.9521525649486802,6.776037315586973
Equal Voice,learning,2,8,0.9536508672025795,6.287116804280618
Equal Voice,learning,2,9,0.9545930028210718,5.75560295629706
Equal Voice,learning,2,10,0.9554810783873293,5.291310509145952
Equal Voice,learning,2,11,0.9562383806507454,4.938445768369071
Equal Voice,learning,2,12,0.9564840114701204,5.06713862182841
Equal Voice,learning,2,13,0.9572100081538898,4.336728032042517
Equal Voice,learning,2,14,0.9577822827201394,4.100878666486678
Equal Voice,learning,2,15,0.9578359317653007,4.1339397077041475
Equal Voice,learning,2,16,0.9574554464864499,4.3925217262609255
Equal Voice,learning,2,17,0.9572122832738553,4.039822298049716
Equal Voice,learning,2,18,0.9576436842999251,3.438084026624429
Equal Voice,learning,2,19,0.9580489086777354,3.2829672008362762
Equal Voice,learning,2,20,0.9585245529460187,3.112328811488062
Equal Voice,learning,2,21,0.9590990411667892,2.9557566752236593
Equal Voice,learning,2,22,0.9590236722595721,3.0910267893652335
Equal Voice,learning,2,23,0.9592478340493857,2.8143613752942853
Equal Voice,learning,2,24,0.959011504202429,3.038680681090847
Equal Voice,learning,2,25,0.9589583820431757,2.7585028988674005
Equal Voice,learning,2,26,0.9584938209832271,2.8459177178806225
Equal Voice,learning,2,27,0.958420824048916,2.611325163291798
Equal Voice,learning,2,28,0.9585632108827598,2.4495639548918327
Equal Voice,learning,2,29,0.9584699255979776,2.476233081921845
Equal Voice,learning,2,30,0.9591266311582579,2.2003612832067416
Equal Voice,learning,2,31,0.959196567989725,2.251883770061893
Equal Voice,learning,2,32,0.9596897329039178,2.090572121569542
Equal Voice,learning,2,33,0.9599315527790101,2.067965822950734
Equal Voice,learning,2,34,0.9598915624341364,2.098417999228315
Equal Voice,learning,2,35,0.9600641056095373,1.9752250193799945
Equal Voice,learning,2,36,0.9597041224818661,2.1464720595952484
Equal Voice,learning,2,37,0.9595321681832041,2.0287990784587238
Equal Voice,learning,2,38,0.9591749948179433,2.0856489321989393
Equal Voice,learning,2,39,0.959229938656663,1.8688780066574782
Equal Voice,learning,2,40,0.9593024073127233,1.8199873785897904
Equal Voice,learning,2,41,0.9595021982525436,1.7268478923498445
Equal Voice,learning,2,42,0.9595434215330155,1.748599607137845
