mechanism,dynamic_mode,run,timestep,alpha,friction
Expert Rule,learning,0,0,0.6874711822879227,49.670748833067755
Expert Rule,learning,0,1,0.724083272198486,29.41289767115187
Expert Rule,learning,0,2,0.7239669293958351,21.60178567931264
Expert Rule,learning,0,3,0.7225645047416218,17.279142048973213
Expert Rule,learning,0,4,0.7235515358010614,14.450596788341922
Expert Rule,learning,0,5,0.7058705650687476,12.90774761835967
Expert Rule,learning,0,6,0.7222024088121859,10.840847853246684
Expert Rule,learning,0,7,0.705979907210132,10.860769961485492
Expert Rule,learning,0,8,0.7202969571417892,8.801335812208658
Expert Rule,learning,0,9,0.7243313593484633,7.827024472265672
Expert Rule,learning,0,10,0.7232832507814214,7.320034687027578
Expert Rule,learning,0,11,0.7231574000445884,6.684220113990476
Expert Rule,learning,0,12,0.7142743884580904,6.286730181854018
Expert Rule,learning,0,13,0.7099515626715992,5.987758240068452
Expert Rule,learning,0,14,0.7241272372571094,5.538490706667035
Expert Rule,learning,0,15,0.7023062652785075,5.4174701233135405
Expert Rule,learning,0,16,0.7168702171683088,4.8598995121878055
Expert Rule,learning,0,17,0.7240641293321631,4.528516204553054
Expert Rule,learning,0,18,0.6996229972693682,4.573969096767742
Expert Rule,learning,0,19,0.7214328684339186,4.135964287240311
Expert Rule,learning,0,20,0.7240409986778995,3.9217761873556505
Expert Rule,learning,0,21,0.7240231345409495,3.7444406122121254
Expert Rule,learning,0,22,0.7184627362477807,3.7234359879948222
Expert Rule,learning,0,23,0.7097564695108667,3.4875912292153775
Expert Rule,learning,0,24,0.7029143004893612,3.7979900366413086
Expert Rule,learning,0,25,0.723888176745445,3.1865362516002187
Expert Rule,learning,0,26,0.7228341695651581,3.0974087240049304
Expert Rule,learning,0,27,0.7218502843516403,2.9815568132768853
Expert Rule,learning,0,28,0.7229668344471296,2.89510529583894
Expert Rule,learning,0,29,0.7011895580492267,3.1153748351425303
Expert Rule,learning,0,30,0.7169159513728317,2.7180280896228677
Expert Rule,learning,0,31,0.7188440468504713,2.669060819679287
Expert Rule,learning,0,32,0.7229164545347778,2.5303759767189375
Expert Rule,learning,0,33,0.7196528932751812,2.4588037160087963
Expert Rule,learning,0,34,0.7179305874351625,2.5005463099032292
Expert Rule,learning,0,35,0.7212501602683015,2.3324943141252765
Expert Rule,learning,0,36,0.7239389188573973,2.2700532359963095
Expert Rule,learning,0,37,0.7237139910306405,2.2085239064454862
Expert Rule,learning,0,38,0.7151377695850223,2.2840273940674543
Expert Rule,learning,0,39,0.7218012675645513,2.1140953579568995
Expert Rule,learning,0,40,0.7074081461933952,2.1272957965573958
Expert Rule,learning,0,41,0.723321863715858,2.012144943099758
Expert Rule,learning,0,42,0.7197876799270564,2.005645889286642
Expert Rule,learning,0,43,0.7236505883872739,1.9120384076343122
Expert Rule,learning,0,44,0.7231633655931003,1.8716466304130879
Expert Rule,learning,0,45,0.7177073142775356,1.857539181355399
Expert Rule,learning,0,46,0.7127536849691901,1.8170104771408322
Expert Rule,learning,0,47,0.7211509901009783,1.7640192961053511
Expert Rule,learning,0,48,0.7122189488285557,1.8194367239208376
Expert Rule,learning,0,49,0.6830246800719049,2.0091868594804887
Expert Rule,learning,1,0,0.6466995018043356,39.933617711560046
Expert Rule,learning,1,1,0.6408574999475485,26.16810074612248
Expert Rule,learning,1,2,0.615895858904077,22.237445579223444
Expert Rule,learning,1,3,0.6165364590512201,17.123804632985443
Expert Rule,learning,1,4,0.643221777966398,14.028765544344667
