mechanism,dynamic_mode,run,timestep,alpha,friction
Random Assignment,learning,0,0,0.9097083245725012,25.05538273809154
Random Assignment,learning,0,1,0.9397817717400594,17.93938912069534
Random Assignment,learning,0,2,0.9438919893362745,16.471159637442273
Random Assignment,learning,0,3,0.9592256873735066,11.842455599461141
Random Assignment,learning,0,4,0.9633157467793407,9.749622365965436
Random Assignment,learning,0,5,0.8162866075551825,48.4921490927084
Random Assignment,learning,0,6,0.8211352800223397,46.65451941807122
Random Assignment,learning,0,7,0.9277027700325076,17.963076892888438
Random Assignment,learning,0,8,0.962076440181219,9.213873336243422
Random Assignment,learning,0,9,0.957134456250365,10.180037665485202
Random Assignment,learning,0,10,0.8495426094482394,34.97993554827533
Random Assignment,learning,0,11,0.9651292782321842,7.909152578297552
Random Assignment,learning,0,12,0.9307935873932898,14.613657064583881
Random Assignment,learning,0,13,0.9364180429639763,14.114235907517397
Random Assignment,learning,0,14,0.9493645639938344,10.837401269026458
Random Assignment,learning,0,15,0.964888359865783,6.85588239916596
Random Assignment,learning,0,16,0.9730545298680221,5.393149622964167
Random Assignment,learning,0,17,0.7534423838610764,49.441798175310055
Random Assignment,learning,0,18,0.9756892451540091,5.447682802950896
Random Assignment,learning,0,19,0.9706781965968356,6.035357020196412
Random Assignment,learning,0,20,0.5840583312936772,80.15841400433948
Random Assignment,learning,0,21,0.9028309789128439,17.744623657008518
Random Assignment,learning,0,22,0.4035103221673537,109.37388639882923
Random Assignment,learning,0,23,0.9140836499509534,15.50013344163744
Random Assignment,learning,0,24,0.8764212078974439,21.37505540175987
Random Assignment,learning,0,25,0.6844087942308177,55.67393510309644
Random Assignment,learning,0,26,0.9559341090508097,8.004910059100881
Random Assignment,learning,0,27,0.9391393149084509,10.61081528004737
Random Assignment,learning,0,28,0.41696845967959406,97.28126599413494
Random Assignment,learning,0,29,0.8864593084367185,18.819659456464084
Random Assignment,learning,0,30,0.9773323904362213,3.5607035093403288
Random Assignment,learning,0,31,0.889797508468809,17.55015572748766
Random Assignment,learning,0,32,0.9864997403817449,2.1537084918775102
Random Assignment,learning,0,33,0.9693119522381931,4.447332429118222
Random Assignment,learning,0,34,0.9292770965427923,10.793106280917902
Random Assignment,learning,0,35,0.986994993003769,2.03904261204849
Random Assignment,learning,0,36,0.9272744452334141,10.91424889868479
Random Assignment,learning,0,37,0.920044366816385,11.82723405145722
Random Assignment,learning,0,38,0.9510452815401012,6.666599224985804
Random Assignment,learning,0,39,0.979951833132456,2.935242702220958
Random Assignment,learning,0,40,0.9007570596212426,14.077202150813276
Random Assignment,learning,0,41,0.673529461552199,45.39997599958925
Random Assignment,learning,0,42,0.9860669442888345,2.066785468607949
Random Assignment,learning,0,43,0.7897977903446756,28.365334701583166
Random Assignment,learning,0,44,0.44402652088333394,73.91837066992127
