mechanism,dynamic_mode,run,timestep,alpha,friction
Stakes-Weighted DoCS,learning,0,0,0.6428023547366553,41.371228524638326
Stakes-Weighted DoCS,learning,0,1,0.648496964237164,27.639294238884197
Stakes-Weighted DoCS,learning,0,2,0.6511688733653548,20.610749581612055
Stakes-Weighted DoCS,learning,0,3,0.6523677257862834,16.460654817096575
Stakes-Weighted DoCS,learning,0,4,0.6533275204748774,13.6880106087611
Stakes-Weighted DoCS,learning,0,5,0.6537430198202487,11.786992761048559
Stakes-Weighted DoCS,learning,0,6,0.6541712479524164,10.252871197834912
Stakes-Weighted DoCS,learning,0,7,0.6547753292914262,9.363090281783062
Stakes-Weighted DoCS,learning,0,8,0.6551936811812054,8.304111758426599
Stakes-Weighted DoCS,learning,0,9,0.6556808116612671,7.76707338185605
Stakes-Weighted DoCS,learning,0,10,0.6558125936069019,6.839417052106567
Stakes-Weighted DoCS,learning,0,11,0.655908714740383,6.314955349941979
Stakes-Weighted DoCS,learning,0,12,0.6559837942149371,5.863528712457892
Stakes-Weighted DoCS,learning,0,13,0.656012518809796,5.480608945591642
Stakes-Weighted DoCS,learning,0,14,0.6560062440175154,5.1491570915053995
Stakes-Weighted DoCS,learning,0,15,0.6560792707993002,4.8285087912974305
Stakes-Weighted DoCS,learning,0,16,0.656195835067403,4.592264712615435
Stakes-Weighted DoCS,learning,0,17,0.6563461368037973,4.406965845285624
Stakes-Weighted DoCS,learning,0,18,0.6565087444504571,4.225621379951185
Stakes-Weighted DoCS,learning,0,19,0.6565295720762654,3.9059545705671113
Stakes-Weighted DoCS,learning,0,20,0.6565826640172531,3.7403427571624692
Stakes-Weighted DoCS,learning,0,21,0.6567370319077999,3.71103627875751
Stakes-Weighted DoCS,learning,0,22,0.6567573456797221,3.4192125985243536
Stakes-Weighted DoCS,learning,0,23,0.6569144098872013,3.4498828802717383
Stakes-Weighted DoCS,learning,0,24,0.6569191448219907,3.154918242540489
Stakes-Weighted DoCS,learning,0,25,0.656972624989095,3.061582044175303
Stakes-Weighted DoCS,learning,0,26,0.6569917682584325,2.932983516429966
Stakes-Weighted DoCS,learning,0,27,0.657018973077663,2.837545970366336
Stakes-Weighted DoCS,learning,0,28,0.6570902504984919,2.788870239306635
Stakes-Weighted DoCS,learning,0,29,0.6571447537376761,2.678757547082677
Stakes-Weighted DoCS,learning,0,30,0.6571646064955482,2.570647246114393
Stakes-Weighted DoCS,learning,0,31,0.6571643021415567,2.4861227243517448
Stakes-Weighted DoCS,learning,0,32,0.6572135266264878,2.445610214008789
Stakes-Weighted DoCS,learning,0,33,0.657243778190002,2.3599633883274795
Stakes-Weighted DoCS,learning,0,34,0.6572326858010932,2.2795909397309115
Stakes-Weighted DoCS,learning,0,35,0.6572232670718778,2.2173712731834385
Stakes-Weighted DoCS,learning,0,36,0.6572415663346101,2.1686244513014685
Stakes-Weighted DoCS,learning,0,37,0.6572686519623838,2.1194957198391093
Stakes-Weighted DoCS,learning,0,38,0.6573289384973856,2.113788457820407
Stakes-Weighted DoCS,learning,0,39,0.6572868205493835,2.015273534072703
Stakes-Weighted DoCS,learning,0,40,0.6572903855799501,1.9554528673101208
Stakes-Weighted DoCS,learning,0,41,0.6572741121935983,1.9093940334219413
Stakes-Weighted DoCS,learning,0,42,0.6572936100756694,1.8770954618428206
