mechanism,dynamic_mode,run,timestep,alpha,friction
Equal Voice,social,0,0,0.660753146798513,73.32622830037067
Equal Voice,social,0,1,0.6610394315786685,65.91506776794546
Equal Voice,social,0,2,0.6608107016906493,59.35720471770306
Equal Voice,social,0,3,0.6604163813476768,53.499664452554356
Equal Voice,social,0,4,0.6598623303243158,48.25470041987378
Equal Voice,social,0,5,0.6609834450911745,43.54305142673524
Equal Voice,social,0,6,0.6651125576741101,39.31647490873645
Equal Voice,social,0,7,0.6689231231902822,35.52821247314214
Equal Voice,social,0,8,0.6726504630309758,32.109236728151856
Equal Voice,social,0,9,0.6761214243213083,29.036240243152942
Equal Voice,social,0,10,0.6788278684359782,26.315337536059502
Equal Voice,social,0,11,0.6810621082347239,23.881773745764733
Equal Voice,social,0,12,0.6831570989206706,21.680634609281103
Equal Voice,social,0,13,0.6845693725063314,19.721225168399215
Equal Voice,social,0,14,0.6853670044941051,17.969667870111998
Equal Voice,social,0,15,0.6856740839341997,16.39574386678529
Equal Voice,social,0,16,0.6859003037534046,14.960014941203442
Equal Voice,social,0,17,0.6867651254518943,13.652805800512304
Equal Voice,social,0,18,0.6983604921062145,12.46542290825273
Equal Voice,social,0,19,0.708463189756324,11.395812688472786
Equal Voice,social,0,20,0.7174032985224655,10.426873875771323
Equal Voice,social,0,21,0.7253021867266058,9.548120680384406
Equal Voice,social,0,22,0.7324090368293694,8.747335226809936
Equal Voice,social,0,23,0.7385837158398013,8.02385180954034
Equal Voice,social,0,24,0.7437658326687895,7.373760029990452
Equal Voice,social,0,25,0.7480063650305245,6.789805662985175
Equal Voice,social,0,26,0.7518422150906052,6.253012754503292
Equal Voice,social,0,27,0.755282061233449,5.76021798823507
Equal Voice,social,0,28,0.7583318841933464,5.308160322354635
Equal Voice,social,0,29,0.7609309422642702,4.895395126732747
Equal Voice,social,0,30,0.763260829911963,4.515215745818645
Equal Voice,social,0,31,0.7653813780002665,4.164465938388173
Equal Voice,social,0,32,0.7672676802197927,3.8416076534799553
Equal Voice,social,0,33,0.7689151231075935,3.5447480380950136
Equal Voice,social,0,34,0.7702315307017256,3.2732169936521833
Equal Voice,social,0,35,0.7712263274620639,3.0248043499036794
Equal Voice,social,0,36,0.7717123496853604,2.799915611750164
Equal Voice,social,0,37,0.7720348315036181,2.5922021582026287
Equal Voice,social,0,38,0.7722636933584037,2.399714857294909
Equal Voice,social,0,39,0.7723951885006374,2.2214769521582767
Equal Voice,social,0,40,0.7724111564995093,2.0566525150741217
Equal Voice,social,0,41,0.772241130035067,1.9048663823170484
Equal Voice,social,0,42,0.7719190794702945,1.7648358445275096
Equal Voice,social,0,43,0.7715489180739725,1.6348977720735522
Equal Voice,social,0,44,0.7711346996143904,1.5143498330530052
Equal Voice,social,0,45,0.7704992533282617,1.4036433998523015
Equal Voice,social,0,46,0.7697272460196231,1.3014510787916065
Equal Voice,social,0,47,0.7689232189282217,1.2065639910463086
Equal Voice,social,0,48,0.7680900309108979,1.1184770390372092
Equal Voice,social,0,49,0.7672303501895641,1.0367181204192508
Equal Voice,social,1,0,0.7142271155448153,73.4798302449476
Equal Voice,social,1,1,0.7178987752796895,66.4370016316216
