mechanism,dynamic_mode,run,timestep,alpha,friction
Expert Rule,social,0,0,0.6473108403278529,82.90262079667913
Expert Rule,social,0,1,0.6427293783779112,74.17506530174762
Expert Rule,social,0,2,0.6410431015828248,67.42099166274564
Expert Rule,social,0,3,0.6386328120730822,61.36927566763653
Expert Rule,social,0,4,0.6345878067616385,55.997530914620086
Expert Rule,social,0,5,0.6227473753164345,52.44781707346982
Expert Rule,social,0,6,0.6234854158530097,47.44125178671327
Expert Rule,social,0,7,0.6089983900621474,44.69413212006016
Expert Rule,social,0,8,0.6220001220039317,38.86166023289795
Expert Rule,social,0,9,0.6269110488862288,34.707151311225
Expert Rule,social,0,10,0.6270604404430924,31.90268230182047
Expert Rule,social,0,11,0.6309786936594322,29.151905499839977
Expert Rule,social,0,12,0.6348183419745196,26.36499403574451
Expert Rule,social,0,13,0.6390735295685925,24.058987362338968
Expert Rule,social,0,14,0.645717709869048,21.535015855780834
Expert Rule,social,0,15,0.6485426384530858,19.64180665569958
Expert Rule,social,0,16,0.5895871194905893,21.470097903791384
Expert Rule,social,0,17,0.6574578833922311,16.03927382259857
Expert Rule,social,0,18,0.6595314935502956,14.548691690017801
Expert Rule,social,0,19,0.6560112878276692,13.455847243029272
Expert Rule,social,0,20,0.6295273035266427,13.359560995004445
Expert Rule,social,0,21,0.6626050722308816,11.01898606555697
Expert Rule,social,0,22,0.6666210284803826,9.940772771637635
Expert Rule,social,0,23,0.6707768737601427,8.94466073891601
Expert Rule,social,0,24,0.6732110331758583,8.115805343103968
Expert Rule,social,0,25,0.6674558932914246,7.541655427921589
Expert Rule,social,0,26,0.5831078268551837,8.861577528523329
Expert Rule,social,0,27,0.6895796325549981,5.968270157321825
Expert Rule,social,0,28,0.7021224007771378,5.367453098342109
Expert Rule,social,0,29,0.7043772027151274,5.146545854113766
Expert Rule,social,0,30,0.7252692255973474,4.377380456081862
Expert Rule,social,0,31,0.7176183379672101,4.263665333165364
Expert Rule,social,0,32,0.7287422316941929,3.8594397895974843
Expert Rule,social,0,33,0.754475516900522,3.2474730285942304
Expert Rule,social,0,34,0.7633987482322896,2.943873345132324
Expert Rule,social,0,35,0.7325026737562066,3.214546400605949
Expert Rule,social,0,36,0.7765671569432732,2.4596347464921045
Expert Rule,social,0,37,0.7136732331009668,3.0492921090802048
Expert Rule,social,0,38,0.7881091061496055,2.072644533320323
Expert Rule,social,0,39,0.7072658519800492,2.7524593628881395
