mechanism,dynamic_mode,run,timestep,alpha,friction
Random Assignment,social,0,0,0.7696832281586701,66.57221840071144
Random Assignment,social,0,1,0.0,278.9751990265904
Random Assignment,social,0,2,0.7918215213317705,48.27262379078726
Random Assignment,social,0,3,0.8032612880384913,42.479386515565785
Random Assignment,social,0,4,0.8105644872102584,36.804489782811636
Random Assignment,social,0,5,0.5387875307483165,89.79872426186935
Random Assignment,social,0,6,0.6244831755215072,63.38795511637613
Random Assignment,social,0,7,0.7953092127130859,30.896005282795905
Random Assignment,social,0,8,0.7053484587543235,41.99029698965797
Random Assignment,social,0,9,0.8070722660119515,25.299758094704085
Random Assignment,social,0,10,0.6771743382197546,37.517088147616725
Random Assignment,social,0,11,0.695178535564869,33.72150379195273
Random Assignment,social,0,12,0.5962745161623766,39.44313224637014
Random Assignment,social,0,13,0.6033535569098556,36.58542953524604
Random Assignment,social,0,14,0.030686358116730483,79.31813193439255
Random Assignment,social,0,15,0.5118486330245815,36.50647558355256
Random Assignment,social,0,16,0.8129651730482111,11.903747223766661
Random Assignment,social,0,17,0.7834351300317811,13.163205766054723
Random Assignment,social,0,18,0.8083179486358907,10.212227691576807
Random Assignment,social,0,19,0.7931205918136229,10.612117442719077
Random Assignment,social,0,20,0.8231361551259893,8.41014280384147
Random Assignment,social,0,21,0.6066291829627488,18.264288997929686
Random Assignment,social,0,22,0.5172101625189871,19.83376931423684
Random Assignment,social,0,23,0.7170378253297216,10.843399807127625
Random Assignment,social,0,24,0.4159532351683184,20.50540447829879
Random Assignment,social,0,25,0.7895687183399642,6.6017768924601095
Random Assignment,social,0,26,0.7473516352329359,7.39012458178805
Random Assignment,social,0,27,0.587463943595248,11.614017312725558
Random Assignment,social,0,28,0.7843941130613489,5.417602519940767
Random Assignment,social,0,29,0.5340001601318609,11.508290614805556
Random Assignment,social,0,30,0.6677649861786162,7.11918436783481
Random Assignment,social,0,31,0.6608319470088089,6.711287215320952
Random Assignment,social,0,32,0.6822197830531107,5.8530334732346505
Random Assignment,social,0,33,0.8021226174781526,3.1401322693886278
Random Assignment,social,0,34,0.7083236610804103,4.293031463693509
Random Assignment,social,0,35,0.77155518222515,3.1351694657682807
Random Assignment,social,0,36,0.7935753885554125,2.5806872554237397
Random Assignment,social,0,37,0.7927824013498375,2.4023663384069875
Random Assignment,social,0,38,0.7900745841616642,2.2591819838803695
Random Assignment,social,0,39,0.7754146056743887,2.2585074860067675
Random Assignment,social,0,40,0.6935335261606519,2.9063941522981986
Random Assignment,social,0,41,0.7391946844342081,2.173828591031621
Random Assignment,social,0,42,0.3670606733831574,5.184110448365097
Random Assignment,social,0,43,0.733934834804537,1.9885124423839589
Random Assignment,social,0,44,0.7718910693968016,1.5232294541264284
Random Assignment,social,0,45,0.7630106820303175,1.4151964190622046
Random Assignment,social,0,46,0.7030623846497547,1.7205882260124097
Random Assignment,social,0,47,0.6243155281688111,2.1226340675778763
Random Assignment,social,0,48,0.7501387791915313,1.1985842787613672
Random Assignment,social,0,49,0.18053361669204182,4.031088786302077
Random Assignment,social,1,0,0.646671792111238,87.25383563562728
Random Assignment,social,1,1,0.6346534658617156,75.33279676795458
Random Assignment,social,1,2,0.6402190384980644,69.14245912161886
Random Assignment,social,1,3,0.5513459260435863,80.49882847501851
Random Assignment,social,1,4,0.6873953586931072,45.89467180678651
Random Assignment,social,1,5,0.6145915609381531,50.79210303581103
Random Assignment,social,1,6,0.4868889024577976,66.96802403695379
Random Assignment,social,1,7,0.6849461041694298,34.01432273011724
Random Assignment,social,1,8,0.6251117757983597,38.22668231199433
Random Assignment,social,1,9,0.4849844109493576,47.12476322456155
Random Assignment,social,1,10,0.6132565299538221,32.340521967367536
Random Assignment,social,1,11,0.6736282410656549,23.831607630865275
Random Assignment,social,1,12,0.6191435234418133,26.356611467130726
Random Assignment,social,1,13,0.5199338813637602,30.34968191936774
Random Assignment,social,1,14,0.6560483662478749,18.40274681987773
Random Assignment,social,1,15,0.6508606412239989,17.027536940926442
Random Assignment,social,1,16,0.603765139886127,17.840083222962136
Random Assignment,social,1,17,0.5095812654194347,20.278907912865193
Random Assignment,social,1,18,0.3144864965756964,26.690712376132282
Random Assignment,social,1,19,0.6210223429781148,12.405958199772003
Random Assignment,social,1,20,0.5460110120590058,13.62993364803448
Random Assignment,social,1,21,0.3211241822002239,19.940741381037927
Random Assignment,social,1,22,0.3211096173749811,18.200057233848373
Random Assignment,social,1,23,0.1253739157198409,21.55260728174994
Random Assignment,social,1,24,0.6081240324292272,7.991460406001055
Random Assignment,social,1,25,0.38517534796031183,11.72024010397331
Random Assignment,social,1,26,0.2345081929246765,13.923333031939649
Random Assignment,social,1,27,0.5889054476828249,6.239176327761608
Random Assignment,social,1,28,0.31532858763260563,9.968229598539175
Random Assignment,social,1,29,0.5853084230155419,5.158645197481216
Random Assignment,social,1,30,0.5689341570062804,4.90264629772031
Random Assignment,social,1,31,0.5291668026407488,4.951369364324602
Random Assignment,social,1,32,0.5837963817636219,4.016705629002685
Random Assignment,social,1,33,0.5801174665278381,3.771108076577004
Random Assignment,social,1,34,0.5765181365675371,3.5298263909363254
Random Assignment,social,1,35,0.2744950015784312,5.9547615519079695
Random Assignment,social,1,36,0.28073637746766245,5.469263197582862
Random Assignment,social,1,37,0.5262335609747759,3.221115175063911
