mechanism,dynamic_mode,run,timestep,alpha,friction
Stakes-Weighted DoCS,social,0,0,0.6733586239004141,71.27497118592815
Stakes-Weighted DoCS,social,0,1,0.6751618836186808,64.49951640068267
Stakes-Weighted DoCS,social,0,2,0.6753645668376851,58.58974510961256
Stakes-Weighted DoCS,social,0,3,0.6744559842868003,53.3486107183361
Stakes-Weighted DoCS,social,0,4,0.6726267175714082,48.66191458960351
Stakes-Weighted DoCS,social,0,5,0.6704912419483124,44.38430283181527
Stakes-Weighted DoCS,social,0,6,0.6679210087920894,40.4991854007983
Stakes-Weighted DoCS,social,0,7,0.6648450574079603,36.97245245159219
Stakes-Weighted DoCS,social,0,8,0.6637119765646605,33.75122944075728
Stakes-Weighted DoCS,social,0,9,0.6691757404744539,30.826916400819037
Stakes-Weighted DoCS,social,0,10,0.6738621223138438,28.18325818696976
Stakes-Weighted DoCS,social,0,11,0.6778137321811332,25.79145166521287
Stakes-Weighted DoCS,social,0,12,0.6813712374306997,23.601749769695612
Stakes-Weighted DoCS,social,0,13,0.6844999958801142,21.599771293938225
Stakes-Weighted DoCS,social,0,14,0.6871062073952691,19.779772198241307
Stakes-Weighted DoCS,social,0,15,0.6894026850435593,18.11198461438561
Stakes-Weighted DoCS,social,0,16,0.6912191153205064,16.592800079373788
Stakes-Weighted DoCS,social,0,17,0.6926130210414195,15.208387779302203
Stakes-Weighted DoCS,social,0,18,0.6936826156898841,13.940512625478455
Stakes-Weighted DoCS,social,0,19,0.6943558287183926,12.78464329895647
Stakes-Weighted DoCS,social,0,20,0.6947555982624832,11.72430361670559
Stakes-Weighted DoCS,social,0,21,0.6947582900497795,10.757945178715316
Stakes-Weighted DoCS,social,0,22,0.6943409437705401,9.87692867036253
Stakes-Weighted DoCS,social,0,23,0.6937446277601366,9.066280138321018
Stakes-Weighted DoCS,social,0,24,0.6929712737804097,8.32058227465895
Stakes-Weighted DoCS,social,0,25,0.6917810585936932,7.640675436663917
Stakes-Weighted DoCS,social,0,26,0.6902192108700832,7.01935847070659
Stakes-Weighted DoCS,social,0,27,0.6879325576647265,6.459590928067775
Stakes-Weighted DoCS,social,0,28,0.6866300250301989,5.946925568264286
Stakes-Weighted DoCS,social,0,29,0.6889536033674649,5.473455435810866
Stakes-Weighted DoCS,social,0,30,0.6956779548989667,5.039234068745428
Stakes-Weighted DoCS,social,0,31,0.7013061668442013,4.646975623365558
Stakes-Weighted DoCS,social,0,32,0.7064368002920178,4.2852769289997354
Stakes-Weighted DoCS,social,0,33,0.711146888139025,3.950728272562109
Stakes-Weighted DoCS,social,0,34,0.7154198554001951,3.6427720262374876
Stakes-Weighted DoCS,social,0,35,0.7193084055194205,3.358310415601475
Stakes-Weighted DoCS,social,0,36,0.7228545968284734,3.0954591629941626
