mechanism,dynamic_mode,run,timestep,alpha,friction
Equal Voice,stakes,0,0,0.7462508634486519,58.521985945678885
Equal Voice,stakes,0,1,0.7514690259203042,57.384253858004215
Equal Voice,stakes,0,2,0.7565067537040026,56.28138647029216
Equal Voice,stakes,0,3,0.7613709994116594,55.21228153903575
Equal Voice,stakes,0,4,0.7660685714249035,54.175839319684655
Equal Voice,stakes,0,5,0.7706061168319915,53.170967724790955
Equal Voice,stakes,0,6,0.7749901074328396,52.19658683867037
Equal Voice,stakes,0,7,0.7792268285398363,51.251632826824995
Equal Voice,stakes,0,8,0.7833223703087051,50.33506128052877
Equal Voice,stakes,0,9,0.7872826213432251,49.44585003815363
Equal Voice,stakes,0,10,0.7911132643293952,48.58300152515375
Equal Voice,stakes,0,11,0.7948197734680014,47.745544654276394
Equal Voice,stakes,0,12,0.7984041012224894,46.93355841936515
Equal Voice,stakes,0,13,0.8018732841660458,46.14550115454074
Equal Voice,stakes,0,14,0.8052337909456426,45.37998852301214
Equal Voice,stakes,0,15,0.8084902508159898,44.636174162847425
Equal Voice,stakes,0,16,0.8116470914673295,43.913242135465225
Equal Voice,stakes,0,17,0.8147085435281389,43.210406939823386
Equal Voice,stakes,0,18,0.8176786454799064,42.52691338568329
Equal Voice,stakes,0,19,0.820561249033934,41.86203630252886
Equal Voice,stakes,0,20,0.8233600248710919,41.215080108211716
Equal Voice,stakes,0,21,0.8260784686566675,40.585378259246085
Equal Voice,stakes,0,22,0.8287199072528528,39.9722926026071
Equal Voice,stakes,0,23,0.8312875050609915,39.37521264691347
Equal Voice,stakes,0,24,0.8337842704344685,38.793554769011
Equal Voice,stakes,0,25,0.8362130621111162,38.226761370227045
Equal Voice,stakes,0,26,0.8385765956212369,37.674299994937556
Equal Voice,stakes,0,27,0.8408774496338682,37.135662422583266
Equal Voice,stakes,0,28,0.8431180722097792,36.61036374288497
Equal Voice,stakes,0,29,0.8453007869349112,36.09794142274
Equal Voice,stakes,0,30,0.8474260082765351,35.598302304079894
Equal Voice,stakes,0,31,0.8494947338587718,35.111248442369124
Equal Voice,stakes,0,32,0.8515083089069712,34.63657275426768
Equal Voice,stakes,0,33,0.8534714241384159,34.173270219098576
Equal Voice,stakes,0,34,0.8553864182238501,33.72093092666072
Equal Voice,stakes,0,35,0.8572546397504897,33.27930109689265
Equal Voice,stakes,0,36,0.8590787057275594,32.84775872875189
Equal Voice,stakes,0,37,0.8608601205695826,32.42599203920163
Equal Voice,stakes,0,38,0.8626003119858464,32.0137037951141
Equal Voice,stakes,0,39,0.864297084952699,31.611321174503484
Equal Voice,stakes,0,40,0.8659493855160404,31.219129087226605
Equal Voice,stakes,0,41,0.867563156108149,30.83598721093592
Equal Voice,stakes,0,42,0.8691395089183822,30.461494979032
Equal Voice,stakes,0,43,0.8706747917689862,30.096375399916386
Equal Voice,stakes,0,44,0.8721760875165017,29.739200114629767
Equal Voice,stakes,0,45,0.8736456922331373,29.389493316665817
Equal Voice,stakes,0,46,0.8750844636050026,29.047067459438352
Equal Voice,stakes,0,47,0.876493221521422,28.711742461629306
Equal Voice,stakes,0,48,0.8778701242857054,28.38387205519951
Equal Voice,stakes,0,49,0.8792156576953851,28.06334455656724
Equal Voice,stakes,1,0,0.6815624587207332,98.54476294111569
Equal Voice,stakes,1,1,0.6927336024416988,95.97545859886847
Equal Voice,stakes,1,2,0.7033678792708365,93.47774800398855
Equal Voice,stakes,1,3,0.7134849368252851,91.05317546581504
Equal Voice,stakes,1,4,0.7231045034562648,88.7028848004346
Equal Voice,stakes,1,5,0.732246296945653,86.42763260322471
Equal Voice,stakes,1,6,0.7409299391809188,84.2278054918163
Equal Voice,stakes,1,7,0.749174877430303,82.10344066234588
Equal Voice,stakes,1,8,0.7569876964998231,80.057453877104
Equal Voice,stakes,1,9,0.7644004141480754,78.08600473670077
Equal Voice,stakes,1,10,0.7714310833490552,76.18879547629757
Equal Voice,stakes,1,11,0.7780990694578691,74.36391301508249
Equal Voice,stakes,1,12,0.7844219775055475,72.6099840950778
Equal Voice,stakes,1,13,0.7904168003482529,70.92551635368241
Equal Voice,stakes,1,14,0.7960995880693427,69.30910061110734
Equal Voice,stakes,1,15,0.8014866240705855,67.7587279447861
Equal Voice,stakes,1,16,0.8065933840036474,66.27243936163924
Equal Voice,stakes,1,17,0.8114347138261782,64.84822052468121
Equal Voice,stakes,1,18,0.8160248848691587,63.48398538729061
Equal Voice,stakes,1,19,0.8203775893872747,62.17759630430592
Equal Voice,stakes,1,20,0.8245059400399729,60.92688241916524
Equal Voice,stakes,1,21,0.8284224729021139,59.729656284777796
Equal Voice,stakes,1,22,0.8321391535532278,58.583728734130815
Equal Voice,stakes,1,23,0.8356673858198729,57.486922044219476
Equal Voice,stakes,1,24,0.8390180227738273,56.43708145884187
Equal Voice,stakes,1,25,0.8422013796187311,55.43208515260433
Equal Voice,stakes,1,26,0.8452272481284628,54.46985273068093
Equal Voice,stakes,1,27,0.8481049123312354,53.54835236703372
Equal Voice,stakes,1,28,0.8508429749698032,52.66569207844299
Equal Voice,stakes,1,29,0.8534487496918239,51.82040086226956
Equal Voice,stakes,1,30,0.8559313286815013,51.010069239212434
Equal Voice,stakes,1,31,0.8582981409648273,50.23290720694537
Equal Voice,stakes,1,32,0.8605561948226923,49.48719282173445
Equal Voice,stakes,1,33,0.862712097072485,48.77127307542235
Equal Voice,stakes,1,34,0.8647716070716214,48.0836941318094
Equal Voice,stakes,1,35,0.8667410460879825,47.422814316459224
Equal Voice,stakes,1,36,0.8686259274230342,46.787187857406074
Equal Voice,stakes,1,37,0.8704314327536204,46.175437604531204
Equal Voice,stakes,1,38,0.872160692049502,45.58699721665483
Equal Voice,stakes,1,39,0.8738200394641202,45.01986299354405
Equal Voice,stakes,1,40,0.8754138162947706,44.47283280955842
Equal Voice,stakes,1,41,0.8769439268997579,43.9456799972593
Equal Voice,stakes,1,42,0.8784156287398723,43.4367163843363
Equal Voice,stakes,1,43,0.8798330392655443,42.944695732029686
Equal Voice,stakes,1,44,0.8811965300139438,42.46990051258631
Equal Voice,stakes,1,45,0.8825119405909876,42.01029749931499
Equal Voice,stakes,1,46,0.883777080500249,41.56657174072643
Equal Voice,stakes,1,47,0.8849975760625539,41.137028527416945
Equal Voice,stakes,1,48,0.8861797328140315,40.719743264040645
Equal Voice,stakes,1,49,0.8873257860886398,40.31405919292338
Equal Voice,stakes,2,0,0.6514889391926358,78.9626374580291
Equal Voice,stakes,2,1,0.6583904884210359,77.47086958809949
Equal Voice,stakes,2,2,0.6651097688553232,76.00971583956174
Equal Voice,stakes,2,3,0.6716510229774785,74.57911204259695
Equal Voice,stakes,2,4,0.6780185201185922,73.17893871903502
Equal Voice,stakes,2,5,0.6842165393586823,71.80902541875663
Equal Voice,stakes,2,6,0.6902493541343181,70.46915497299054
Equal Voice,stakes,2,7,0.6961212184782681,69.15906763712402
Equal Voice,stakes,2,8,0.7018363548087798,67.87846510004468
Equal Voice,stakes,2,9,0.7073989431812726,66.62701434121688
Equal Voice,stakes,2,10,0.7128131119120713,65.40435132060685
Equal Voice,stakes,2,11,0.7180829294820693,64.21008449019047
Equal Voice,stakes,2,12,0.723212397627768,63.04379811907138
Equal Voice,stakes,2,13,0.7282054455277844,61.90505542720425
Equal Voice,stakes,2,14,0.7330659249945102,60.79340152534918
Equal Voice,stakes,2,15,0.7377976065829747,59.708366161187215
Equal Voice,stakes,2,16,0.7424041765319895,58.64946627351229
Equal Voice,stakes,2,17,0.7468892344561732,57.61620835809733
Equal Voice,stakes,2,18,0.7512562917113967,56.6080906502308
Equal Voice,stakes,2,19,0.7555087703604,55.624605130055606
Equal Voice,stakes,2,20,0.759650002669752,54.66523935773726
Equal Voice,stakes,2,21,0.7636832310738597,53.72947814616645
Equal Voice,stakes,2,22,0.7676116085463018,52.816805079386185
Equal Voice,stakes,2,23,0.7714381993233241,51.926703885248855
Equal Voice,stakes,2,24,0.7751659799288151,51.05865967097411
Equal Voice,stakes,2,25,0.7787978404544603,50.2121600303206
Equal Voice,stakes,2,26,0.7823365860529885,49.38669603101548
Equal Voice,stakes,2,27,0.7857849386064801,48.581763090931894
Equal Voice,stakes,2,28,0.789145538535557,47.79686175127493
Equal Voice,stakes,2,29,0.7924209467189098,47.031498354753246
Equal Voice,stakes,2,30,0.7956136464960375,46.285185636382856
Equal Voice,stakes,2,31,0.7987260457292626,45.55744323420922
Equal Voice,stakes,2,32,0.8018723047043048,44.847798126850044
Equal Voice,stakes,2,33,0.8050294075019263,44.155785004364596
Equal Voice,stakes,2,34,0.8081080297954479,43.48094657855216
Equal Voice,stakes,2,35,0.811110020255811,42.822833838380575
Equal Voice,stakes,2,36,0.814037218833578,42.181006255848324
Equal Voice,stakes,2,37,0.816891453001873,41.55503194719573
Equal Voice,stakes,2,38,0.8196745344157244,40.94448779400692
Equal Voice,stakes,2,39,0.8223882559572709,40.34895952838305
Equal Voice,stakes,2,40,0.8250343891375057,39.768041786025975
Equal Voice,stakes,2,41,0.8276146818265478,39.20133813074585
Equal Voice,stakes,2,42,0.8301308562858319,38.648461053600975
Equal Voice,stakes,2,43,0.8325846074770371,38.10903194959182
Equal Voice,stakes,2,44,0.8349776016240444,37.58268107456412
Equal Voice,stakes,2,45,0.8373114750056586,37.06904748472789
Equal Voice,stakes,2,46,0.8395878329582798,36.56777896096945
Equal Voice,stakes,2,47,0.8418082490691055,36.07853191992268
Equal Voice,stakes,2,48,0.8439742645418148,35.60097131357096
