mechanism,dynamic_mode,run,timestep,alpha,friction
Expert Rule,stakes,0,0,0.6863375956695391,81.73748078427421
Expert Rule,stakes,0,1,0.8098324536906055,49.764080230558484
Expert Rule,stakes,0,2,0.7931468431186085,54.21073429642516
Expert Rule,stakes,0,3,0.7795390410217864,57.76876477960443
Expert Rule,stakes,0,4,0.7709381476600606,59.956918992992776
Expert Rule,stakes,0,5,0.7235868714640223,72.08581525094033
Expert Rule,stakes,0,6,0.8308905526148507,44.332530607029845
Expert Rule,stakes,0,7,0.8308786455361892,44.522332568758635
Expert Rule,stakes,0,8,0.7730409098666431,59.65966614075655
Expert Rule,stakes,0,9,0.7434990800898653,67.22839954025622
Expert Rule,stakes,0,10,0.811851928884414,49.384638888769324
Expert Rule,stakes,0,11,0.8244371169891624,46.195460949573665
Expert Rule,stakes,0,12,0.762992942246907,62.224665848715375
Expert Rule,stakes,0,13,0.7927022298237918,54.38324619455747
Expert Rule,stakes,0,14,0.759004058656933,63.06295706073856
Expert Rule,stakes,0,15,0.8079748668932881,50.25983908568729
Expert Rule,stakes,0,16,0.767697221217265,60.661673299829395
Expert Rule,stakes,0,17,0.8023495304570167,51.589675070004056
Expert Rule,stakes,0,18,0.8167122727888738,47.87641823850307
Expert Rule,stakes,0,19,0.8019235551749567,51.70094968200031
Expert Rule,stakes,0,20,0.8134254967332256,48.70310547812083
Expert Rule,stakes,0,21,0.8296300436635737,44.55318849286244
Expert Rule,stakes,0,22,0.7777828983461148,57.98438187386649
Expert Rule,stakes,0,23,0.8051619371195585,50.79382202963787
Expert Rule,stakes,0,24,0.831453495715857,44.014690540655295
Expert Rule,stakes,0,25,0.8188592087032838,47.3033226464139
Expert Rule,stakes,0,26,0.8326563062356661,43.76407351178262
Expert Rule,stakes,0,27,0.7680371559871922,60.49932764574905
Expert Rule,stakes,0,28,0.8313780032660358,44.029568256582806
Expert Rule,stakes,0,29,0.7404490176438637,68.06926239827646
Expert Rule,stakes,0,30,0.8323754939544228,43.99536073550896
Expert Rule,stakes,0,31,0.8423070195015309,41.46254748565669
Expert Rule,stakes,0,32,0.8022184147687742,51.92094278712499
Expert Rule,stakes,0,33,0.8215295666249569,46.8303834804702
Expert Rule,stakes,0,34,0.8303760963488656,44.516085192355746
Expert Rule,stakes,0,35,0.7926910846739434,54.298245553585964
Expert Rule,stakes,0,36,0.7942299522887364,53.78796480961344
Expert Rule,stakes,0,37,0.8267868297495489,45.26380772259805
Expert Rule,stakes,0,38,0.8352066131822024,43.083204050494764
Expert Rule,stakes,0,39,0.854300908437618,38.220761581244275
Expert Rule,stakes,0,40,0.845809275730351,40.50721015914528
Expert Rule,stakes,0,41,0.8102435489697002,49.77268974046686
Expert Rule,stakes,0,42,0.8409266165400778,41.75295420985659
Expert Rule,stakes,0,43,0.7823274358413577,56.99573273600681
Expert Rule,stakes,0,44,0.7755533485128748,58.61286084253066
Expert Rule,stakes,0,45,0.8275039389257219,45.01552209281839
Expert Rule,stakes,0,46,0.8442236659539049,40.69832820895909
Expert Rule,stakes,0,47,0.7553875214556196,63.69896395915669
Expert Rule,stakes,0,48,0.7284845898824266,70.45562538715096
Expert Rule,stakes,0,49,0.824849272199498,45.40069655025826
Expert Rule,stakes,1,0,0.7639195016350401,65.04732838840675
Expert Rule,stakes,1,1,0.7448557775701532,69.99482721238643
Expert Rule,stakes,1,2,0.7945085139657639,56.2934987980095
Expert Rule,stakes,1,3,0.7960444965319109,55.8175078882169
Expert Rule,stakes,1,4,0.7194340160015754,76.37378141985839
Expert Rule,stakes,1,5,0.806371632951656,52.624283590218255
Expert Rule,stakes,1,6,0.8010378279885068,54.05545366623532
Expert Rule,stakes,1,7,0.8104501856678796,51.44064983688466
Expert Rule,stakes,1,8,0.7822025930297342,58.89654889135266
Expert Rule,stakes,1,9,0.8033407994972732,53.19542959882255
Expert Rule,stakes,1,10,0.8157644036909932,49.801860894359734
Expert Rule,stakes,1,11,0.8199379292983187,48.55304689796036
Expert Rule,stakes,1,12,0.7777288158379102,59.70546183751776
Expert Rule,stakes,1,13,0.7318304024276086,71.68544817779193
Expert Rule,stakes,1,14,0.7801223377256299,58.55722161593389
Expert Rule,stakes,1,15,0.8342984247141412,44.03635838445802
Expert Rule,stakes,1,16,0.693767915555634,80.96049964810506
Expert Rule,stakes,1,17,0.8247244497101238,46.34189727220509
Expert Rule,stakes,1,18,0.8304080025030294,44.73498886693385
Expert Rule,stakes,1,19,0.8308998369750511,44.500944980804164
Expert Rule,stakes,1,20,0.7367252842811193,68.98286111463234
Expert Rule,stakes,1,21,0.8532642785906227,38.384687651703196
Expert Rule,stakes,1,22,0.7858194620910128,55.83754230462296
Expert Rule,stakes,1,23,0.8259050268784409,45.4138297055145
Expert Rule,stakes,1,24,0.8429219449319784,40.89140066329649
Expert Rule,stakes,1,25,0.7942789270694037,53.38731516165809
Expert Rule,stakes,1,26,0.7958083294454845,53.06949022757557
Expert Rule,stakes,1,27,0.8595500587647285,36.488475189327964
Expert Rule,stakes,1,28,0.8601214034010909,36.328261859508714
Expert Rule,stakes,1,29,0.7739255257655571,58.52152048287569
Expert Rule,stakes,1,30,0.7937148381953276,53.24109458127761
Expert Rule,stakes,1,31,0.8829670758023785,30.175791608397027
Expert Rule,stakes,1,32,0.8392772275064362,41.3548024461016
Expert Rule,stakes,1,33,0.8282894365822998,44.08350195920425
Expert Rule,stakes,1,34,0.8347816240583295,42.328556257349845
Expert Rule,stakes,1,35,0.8058726414690833,49.60951639043122
Expert Rule,stakes,1,36,0.707446441558294,74.51427334587348
Expert Rule,stakes,1,37,0.8392415693367646,40.979559442014164
Expert Rule,stakes,1,38,0.875091603003361,31.804692744184848
Expert Rule,stakes,1,39,0.895262801724134,26.651603258620803
Expert Rule,stakes,1,40,0.8263365135795967,44.10207969524395
Expert Rule,stakes,1,41,0.8743757612536697,31.866476796383218
Expert Rule,stakes,1,42,0.8762173127988147,31.365509454412873
Expert Rule,stakes,1,43,0.8543920623066783,36.841615230566894
Expert Rule,stakes,1,44,0.8617105337602646,34.943314053293776
Expert Rule,stakes,1,45,0.9000993972144059,25.230287233910758
Expert Rule,stakes,1,46,0.8726145312515624,32.18696706089889
Expert Rule,stakes,1,47,0.8549849929879295,36.59117234766984
Expert Rule,stakes,1,48,0.7836134777615748,54.48418746358975
Expert Rule,stakes,1,49,0.8737464931084606,31.7567378627442
Expert Rule,stakes,2,0,0.7029402934392635,84.66804257355885
Expert Rule,stakes,2,1,0.6719182126475688,93.02438758040377
Expert Rule,stakes,2,2,0.6879662312215131,88.15601089092897
Expert Rule,stakes,2,3,0.7026344899029164,83.8333930749402
Expert Rule,stakes,2,4,0.6680783368427583,92.91017411636382
Expert Rule,stakes,2,5,0.7150492767393264,79.70786187500015
Expert Rule,stakes,2,6,0.7191599638345371,78.53234806004862
Expert Rule,stakes,2,7,0.7052630623157602,83.09267942188616
Expert Rule,stakes,2,8,0.7276124153794437,76.76398743105365
Expert Rule,stakes,2,9,0.71126555989873,81.05746169799895
Expert Rule,stakes,2,10,0.7337243957397874,74.7955838091987
Expert Rule,stakes,2,11,0.6121582554330868,107.80975237642399
Expert Rule,stakes,2,12,0.7095414601841377,80.33456550803523
Expert Rule,stakes,2,13,0.7281200387629769,75.4641278278396
Expert Rule,stakes,2,14,0.7237449220961678,76.37015814074608
Expert Rule,stakes,2,15,0.737736994459318,72.3049291064135
Expert Rule,stakes,2,16,0.7450706889952814,70.34237555929845
Expert Rule,stakes,2,17,0.7517230797543513,68.48501751452473
Expert Rule,stakes,2,18,0.7144969572879218,78.26839757386308
Expert Rule,stakes,2,19,0.7509895009207076,68.33647758430246
Expert Rule,stakes,2,20,0.7552222854838742,67.01026905683912
Expert Rule,stakes,2,21,0.7438072575611836,70.34637207769494
Expert Rule,stakes,2,22,0.7047032962926396,80.47828844539143
Expert Rule,stakes,2,23,0.7611477493412587,64.92790814157051
Expert Rule,stakes,2,24,0.7359061248374503,71.40224977560673
Expert Rule,stakes,2,25,0.770092671179346,62.144887020643814
Expert Rule,stakes,2,26,0.7524181323965554,67.08191689086503
Expert Rule,stakes,2,27,0.7732508746916527,61.44989991922937
Expert Rule,stakes,2,28,0.7771483554810038,60.39594210949403
Expert Rule,stakes,2,29,0.7803100065976967,59.53827157590933
Expert Rule,stakes,2,30,0.7560946128639916,65.80456585779687
Expert Rule,stakes,2,31,0.7755470302569724,60.37405611293416
Expert Rule,stakes,2,32,0.7800035932467148,59.00989243236045
Expert Rule,stakes,2,33,0.7980921852661317,54.093717334696784
Expert Rule,stakes,2,34,0.7976172968923562,54.133964797294354
Expert Rule,stakes,2,35,0.7432714102296476,68.92954375101662
Expert Rule,stakes,2,36,0.8062837653304796,51.94489307830807
Expert Rule,stakes,2,37,0.8011269037082731,53.31657477843961
Expert Rule,stakes,2,38,0.8007646087412083,53.299529286379524
Expert Rule,stakes,2,39,0.7579855769407418,64.94274386480058
Expert Rule,stakes,2,40,0.8010773936378572,53.40269681673591
Expert Rule,stakes,2,41,0.800692333355045,53.37223742130423
Expert Rule,stakes,2,42,0.8197653564384644,48.20138878203468
Expert Rule,stakes,2,43,0.8205262114299893,47.93004215141166
Expert Rule,stakes,2,44,0.8165741796108378,48.98267702432176
Expert Rule,stakes,2,45,0.7704741569218767,61.45549919126756
Expert Rule,stakes,2,46,0.8198309039601164,48.241277472133746
Expert Rule,stakes,2,47,0.7105758314078203,77.0347995693679
Expert Rule,stakes,2,48,0.6563532310987694,91.99028509275495
Expert Rule,stakes,2,49,0.7831981963245798,57.8168218611618
Expert Rule,stakes,3,0,0.700247773491613,79.5446737138314
Expert Rule,stakes,3,1,0.6936620420483065,80.70141318252415
Expert Rule,stakes,3,2,0.7075139781958286,76.80367171252513
Expert Rule,stakes,3,3,0.7107247991426213,75.58235293751848
Expert Rule,stakes,3,4,0.7154640768812974,73.9628639724312
Expert Rule,stakes,3,5,0.7200459149031992,72.37187863993132
Expert Rule,stakes,3,6,0.6974823434795963,78.48884320096296
Expert Rule,stakes,3,7,0.7198764109339313,72.15714327180464
Expert Rule,stakes,3,8,0.7249509328519109,70.34577642360024
Expert Rule,stakes,3,9,0.7352325337132952,67.55524121074443
Expert Rule,stakes,3,10,0.7425983594440047,65.341408701944
Expert Rule,stakes,3,11,0.7192550776126321,71.412027448786
Expert Rule,stakes,3,12,0.7192920876496958,71.57823517247729
Expert Rule,stakes,3,13,0.7525580220292911,62.85393328511716
Expert Rule,stakes,3,14,0.7515460636496826,62.72858108107274
Expert Rule,stakes,3,15,0.7442958304446894,64.5873578194075
Expert Rule,stakes,3,16,0.7636355565612646,59.48710659784267
Expert Rule,stakes,3,17,0.7266724929251677,68.97273780493853
Expert Rule,stakes,3,18,0.7657311438256653,59.010134889660065
Expert Rule,stakes,3,19,0.7637887237711786,59.13855019624625
Expert Rule,stakes,3,20,0.671959351379241,82.56253760661983
Expert Rule,stakes,3,21,0.7786194679021038,55.49149822599527
Expert Rule,stakes,3,22,0.7752595816259461,56.254861713314696
Expert Rule,stakes,3,23,0.7827502541265997,54.23604774444179
Expert Rule,stakes,3,24,0.6995069279102853,75.34007534949654
Expert Rule,stakes,3,25,0.6786310776764185,79.98054464327589
Expert Rule,stakes,3,26,0.7540798133691802,61.312204034085795
Expert Rule,stakes,3,27,0.7937313256585499,51.24357205935631
Expert Rule,stakes,3,28,0.7901319935365749,52.06154854228606
Expert Rule,stakes,3,29,0.7815487514196375,54.20384206569937
Expert Rule,stakes,3,30,0.7932470282161105,51.2487379935805
Expert Rule,stakes,3,31,0.7831685412252397,53.774661083130425
Expert Rule,stakes,3,32,0.8021013056287215,48.9881177248186
Expert Rule,stakes,3,33,0.8086242960476351,47.203552943726585
Expert Rule,stakes,3,34,0.8115070313538411,46.33404447031965
Expert Rule,stakes,3,35,0.8137559377314009,45.64066998976705
Expert Rule,stakes,3,36,0.8004901030954479,48.88197933323221
Expert Rule,stakes,3,37,0.7741951330739961,55.03114527322903
Expert Rule,stakes,3,38,0.7900345531494215,51.212555112338805
Expert Rule,stakes,3,39,0.7791324552827973,53.95070835807063
Expert Rule,stakes,3,40,0.8093185127911563,46.562391079566616
Expert Rule,stakes,3,41,0.8056769856587777,47.462967003403996
Expert Rule,stakes,3,42,0.8115297463059141,45.843377291750876
Expert Rule,stakes,3,43,0.8284934402709909,41.60712027399151
Expert Rule,stakes,3,44,0.8115232738879925,45.728236604514926
Expert Rule,stakes,3,45,0.8191781703601703,43.84952064277306
Expert Rule,stakes,3,46,0.801749995178344,48.12056361220953
Expert Rule,stakes,3,47,0.8273634080177841,41.86007313252616
Expert Rule,stakes,3,48,0.8144920329394677,45.00090608945255
Expert Rule,stakes,3,49,0.8034569587164415,47.72937378709466
Expert Rule,stakes,4,0,0.717025632254022,112.21183936083096
Expert Rule,stakes,4,1,0.6940652980188617,119.86133188337794
Expert Rule,stakes,4,2,0.7257702572465576,107.52033678371797
Expert Rule,stakes,4,3,0.7342301970087521,104.22948354529404
Expert Rule,stakes,4,4,0.7413801668345328,100.7828014870373
Expert Rule,stakes,4,5,0.74794456881273,98.16285784001316
Expert Rule,stakes,4,6,0.7424028755334041,99.5298956697416
Expert Rule,stakes,4,7,0.7615545650972688,91.93194062368156
Expert Rule,stakes,4,8,0.7321657332713907,103.86515602841001
Expert Rule,stakes,4,9,0.7653970626021503,91.10365704320799
Expert Rule,stakes,4,10,0.6683018602992566,130.10028240468299
Expert Rule,stakes,4,11,0.7802520861440592,85.86915622909
Expert Rule,stakes,4,12,0.7842562321643232,84.3068792329372
Expert Rule,stakes,4,13,0.7910525539348335,81.40670268696657
Expert Rule,stakes,4,14,0.7733613743202896,88.6666086882059
Expert Rule,stakes,4,15,0.7830340266843083,85.19518366139226
Expert Rule,stakes,4,16,0.7953594400884156,80.54759478351212
Expert Rule,stakes,4,17,0.8014020377045599,78.33316271754012
Expert Rule,stakes,4,18,0.8128252794391362,73.71460967162433
Expert Rule,stakes,4,19,0.8120280878509012,73.80401387706802
Expert Rule,stakes,4,20,0.8176983728594764,71.61087462740483
Expert Rule,stakes,4,21,0.8230793355015954,69.45991246965323
Expert Rule,stakes,4,22,0.7814843155902402,85.30660122769713
Expert Rule,stakes,4,23,0.8291625421401227,66.63070471120194
Expert Rule,stakes,4,24,0.8246614585720033,68.48889736849617
Expert Rule,stakes,4,25,0.8357188410058428,64.10311988440374
Expert Rule,stakes,4,26,0.8371308281157297,63.43879575953693
Expert Rule,stakes,4,27,0.8367343463062985,63.64139207294183
Expert Rule,stakes,4,28,0.784107924700475,84.54403094438906
Expert Rule,stakes,4,29,0.8459124352897004,60.29408270708495
Expert Rule,stakes,4,30,0.8469948058233714,59.87566288071062
Expert Rule,stakes,4,31,0.8507984444196988,58.353994557452104
Expert Rule,stakes,4,32,0.8517124751855035,57.9066415835649
Expert Rule,stakes,4,33,0.8527042376065025,57.544066068407545
Expert Rule,stakes,4,34,0.8502094709335428,58.59147410552832
Expert Rule,stakes,4,35,0.8593698281578156,54.99600591290335
Expert Rule,stakes,4,36,0.8622849216832118,53.8073831529653
Expert Rule,stakes,4,37,0.8557452263645743,56.43395685923378
Expert Rule,stakes,4,38,0.8519359481272242,57.77345429279109
Expert Rule,stakes,4,39,0.8534274320132788,57.04144094926162
Expert Rule,stakes,4,40,0.8695998570531661,50.71635228731407
