mechanism,dynamic_mode,run,timestep,alpha,friction
Random Assignment,stakes,0,0,0.8143968900393166,60.935093880540954
Random Assignment,stakes,0,1,0.673250439575152,106.74975398908876
Random Assignment,stakes,0,2,0.3225093836873012,219.10629584878347
Random Assignment,stakes,0,3,0.4947494806494229,162.0298590953208
Random Assignment,stakes,0,4,0.7105659694475659,92.46274373774607
Random Assignment,stakes,0,5,0.576235396004062,134.44380476332364
Random Assignment,stakes,0,6,0.5322066195952546,147.25991520322265
Random Assignment,stakes,0,7,0.7312032348150961,84.35168849401983
Random Assignment,stakes,0,8,0.6728637176342818,103.54769988251753
Random Assignment,stakes,0,9,0.7019608692109116,95.05195542614453
Random Assignment,stakes,0,10,0.4914751860193758,163.7150975097644
Random Assignment,stakes,0,11,0.8257380102636981,56.24136373927585
Random Assignment,stakes,0,12,0.8365759536843528,52.744288670198664
Random Assignment,stakes,0,13,0.5357762388948061,148.82424894826397
Random Assignment,stakes,0,14,0.531703390299778,149.11349845876848
Random Assignment,stakes,0,15,0.8413302356083141,50.53161264268529
Random Assignment,stakes,0,16,0.845178212875282,49.30948109098631
Random Assignment,stakes,0,17,0.6985491764721248,96.60835779491596
Random Assignment,stakes,0,18,0.7556415823767154,78.05717622632838
Random Assignment,stakes,0,19,0.2785760739903286,228.70222867812274
Random Assignment,stakes,0,20,0.7154175000030846,89.88293396154411
Random Assignment,stakes,0,21,0.74783027676287,79.39673579129821
Random Assignment,stakes,0,22,0.5352739249950687,145.45473059939678
Random Assignment,stakes,0,23,0.844056605027605,48.899927445752304
Random Assignment,stakes,0,24,0.5565704641002944,138.28245146846587
Random Assignment,stakes,0,25,0.8592786363580692,43.90454374148073
Random Assignment,stakes,0,26,0.6541048204610369,107.46156296590163
Random Assignment,stakes,0,27,0.6964875506656527,93.9567001101334
Random Assignment,stakes,0,28,0.8243171745528729,54.30495280176753
Random Assignment,stakes,0,29,0.8579537074412996,43.96325265843966
Random Assignment,stakes,0,30,0.8518807938489074,45.92803186628923
Random Assignment,stakes,0,31,0.8846584291098398,35.7407870608271
Random Assignment,stakes,0,32,0.8680367307097838,40.926341311553784
Random Assignment,stakes,0,33,0.25267762306188624,230.51173729999618
Random Assignment,stakes,0,34,0.8908725230607951,33.64406420745025
Random Assignment,stakes,0,35,0.6084443964040835,121.3092331430084
Random Assignment,stakes,0,36,0.33519896046670095,204.91722865165127
Random Assignment,stakes,0,37,0.4325087350835073,175.81950750512942
Random Assignment,stakes,0,38,0.5569078543012924,136.7001196911475
Random Assignment,stakes,0,39,0.4551425723889738,167.2966173926257
Random Assignment,stakes,0,40,0.8150683278117798,56.694816155440826
Random Assignment,stakes,0,41,0.864164980692536,41.6081285431683
Random Assignment,stakes,0,42,0.6729228174750579,99.87908296065581
Random Assignment,stakes,0,43,0.8521134649424474,45.256671933132985
Random Assignment,stakes,0,44,0.29690818286724974,214.174481783573
Random Assignment,stakes,0,45,0.25706348760085196,225.2433255853817
Random Assignment,stakes,0,46,0.6209662558724647,114.52526187373037
Random Assignment,stakes,0,47,0.5607644857490097,132.20663094490584
Random Assignment,stakes,0,48,0.4651412517147665,160.27656746044636
Random Assignment,stakes,0,49,0.7486065462944098,75.60365716657142
Random Assignment,stakes,1,0,0.7651049350387167,78.8682250838851
Random Assignment,stakes,1,1,0.5641580344556119,144.96621667096872
Random Assignment,stakes,1,2,0.36867331854088803,207.57707735582918
Random Assignment,stakes,1,3,0.7624893482569773,77.90959808546955
Random Assignment,stakes,1,4,0.7654648173318467,76.75022336992204
Random Assignment,stakes,1,5,0.7773062400698285,72.87206878830794
Random Assignment,stakes,1,6,0.7070495496378544,96.83125471394891
Random Assignment,stakes,1,7,0.7854949999325851,70.94769924762228
Random Assignment,stakes,1,8,0.7308058626851242,88.53456290661289
Random Assignment,stakes,1,9,0.7872388194394757,70.30310501296901
Random Assignment,stakes,1,10,0.5264026152705096,155.04558018569378
Random Assignment,stakes,1,11,0.3623374077803382,206.57797494254643
Random Assignment,stakes,1,12,0.6667421495205139,109.0282999066382
Random Assignment,stakes,1,13,0.7918607930480965,68.24392086464908
Random Assignment,stakes,1,14,0.4336551053770309,183.8654192132033
Random Assignment,stakes,1,15,0.7751671644342828,72.77029706505886
Random Assignment,stakes,1,16,0.3891679571068163,195.7080130365985
Random Assignment,stakes,1,17,0.7145840426198492,92.21660412697969
Random Assignment,stakes,1,18,0.7205790484888267,89.6611949531085
Random Assignment,stakes,1,19,0.7709854039218833,73.90766393482109
Random Assignment,stakes,1,20,0.7943942902307054,66.30684706334847
Random Assignment,stakes,1,21,0.7976715369532206,65.27232138547099
Random Assignment,stakes,1,22,0.3905028471370391,194.78433708140437
Random Assignment,stakes,1,23,0.758688069840463,77.5861213024028
