mechanism,dynamic_mode,run,timestep,alpha,friction
Stakes-Weighted DoCS,stakes,0,0,0.796927229036089,62.88981144309375
Stakes-Weighted DoCS,stakes,0,1,0.8015548980535632,61.60169613446496
Stakes-Weighted DoCS,stakes,0,2,0.8059633259897014,60.36841084505336
Stakes-Weighted DoCS,stakes,0,3,0.810162584900799,59.188039980309895
Stakes-Weighted DoCS,stakes,0,4,0.8141672581464086,58.05714866607748
Stakes-Weighted DoCS,stakes,0,5,0.817988573868097,56.9732390246052
Stakes-Weighted DoCS,stakes,0,6,0.8216370660708303,55.93393394673894
Stakes-Weighted DoCS,stakes,0,7,0.8251226114307013,54.936974740576474
Stakes-Weighted DoCS,stakes,0,8,0.8284544666171176,53.98021787018283
Stakes-Weighted DoCS,stakes,0,9,0.8316413053932854,53.06163103516495
Stakes-Weighted DoCS,stakes,0,10,0.8346912549356483,52.179288798689115
Stakes-Weighted DoCS,stakes,0,11,0.837611930960694,51.33136793310639
Stakes-Weighted DoCS,stakes,0,12,0.8404104713692693,50.51614261876672
Stakes-Weighted DoCS,stakes,0,13,0.8430935682174107,49.73197960268475
Stakes-Weighted DoCS,stakes,0,14,0.8456673885268824,48.977361306600265
Stakes-Weighted DoCS,stakes,0,15,0.8481366872325262,48.25111689400427
Stakes-Weighted DoCS,stakes,0,16,0.8505082605741227,47.55153883685931
Stakes-Weighted DoCS,stakes,0,17,0.8527872966200976,46.877318632038055
Stakes-Weighted DoCS,stakes,0,18,0.8549786768585355,46.22721566554218
Stakes-Weighted DoCS,stakes,0,19,0.8570869906078729,45.600055449297855
Stakes-Weighted DoCS,stakes,0,20,0.8591165547710113,44.99472586833778
Stakes-Weighted DoCS,stakes,0,21,0.8610685502723849,44.4110948824899
Stakes-Weighted DoCS,stakes,0,22,0.8629477083363772,43.84787738667593
Stakes-Weighted DoCS,stakes,0,23,0.8647568918292496,43.304532831740694
Stakes-Weighted DoCS,stakes,0,24,0.8664999281262808,42.779995572331565
Stakes-Weighted DoCS,stakes,0,25,0.8681826598066927,42.27240809573939
Stakes-Weighted DoCS,stakes,0,26,0.8698081095408439,41.78096765648407
Stakes-Weighted DoCS,stakes,0,27,0.8713790920145006,41.3049250064461
Stakes-Weighted DoCS,stakes,0,28,0.8728982657531765,40.84356894275537
Stakes-Weighted DoCS,stakes,0,29,0.8743681426563841,40.39622429365082
Stakes-Weighted DoCS,stakes,0,30,0.8757910968517197,39.96225002339531
Stakes-Weighted DoCS,stakes,0,31,0.877169372929276,39.54103744713571
Stakes-Weighted DoCS,stakes,0,32,0.8784970654769314,39.13427996659056
Stakes-Weighted DoCS,stakes,0,33,0.8797801266833859,38.740314660666385
Stakes-Weighted DoCS,stakes,0,34,0.8810262357229356,38.35698414916449
Stakes-Weighted DoCS,stakes,0,35,0.8822350103360269,37.984408248607735
Stakes-Weighted DoCS,stakes,0,36,0.8834074624357316,37.622361868457936
Stakes-Weighted DoCS,stakes,0,37,0.8845464240970409,37.27012961661292
Stakes-Weighted DoCS,stakes,0,38,0.8856545930845001,36.92682251923423
Stakes-Weighted DoCS,stakes,0,39,0.8867333029305308,36.59206759395149
Stakes-Weighted DoCS,stakes,0,40,0.8877836968872087,36.26555508902835
Stakes-Weighted DoCS,stakes,0,41,0.8888046689233614,35.947813528437436
Stakes-Weighted DoCS,stakes,0,42,0.8897998516356965,35.6375828345361
Stakes-Weighted DoCS,stakes,0,43,0.8907698956406557,35.334723896977586
Stakes-Weighted DoCS,stakes,0,44,0.8917150586407596,35.03923575026791
Stakes-Weighted DoCS,stakes,0,45,0.8926376119571738,34.750354193033935
