mechanism,dynamic_mode,run,timestep,alpha,friction
Plutocracy,static,0,0,0.6600917785158131,80.57695893424501
Plutocracy,static,0,1,0.6600917785158131,80.57695893424501
Plutocracy,static,0,2,0.6600917785158131,80.57695893424501
Plutocracy,static,0,3,0.6600917785158131,80.57695893424501
Plutocracy,static,0,4,0.6600917785158131,80.57695893424501
Plutocracy,static,0,5,0.6600917785158131,80.57695893424501
Plutocracy,static,0,6,0.6600917785158131,80.57695893424501
Plutocracy,static,0,7,0.6600917785158131,80.57695893424501
Plutocracy,static,0,8,0.6600917785158131,80.57695893424501
Plutocracy,static,0,9,0.6600917785158131,80.57695893424501
Plutocracy,static,0,10,0.6600917785158131,80.57695893424501
Plutocracy,static,0,11,0.6600917785158131,80.57695893424501
Plutocracy,static,0,12,0.6600917785158131,80.57695893424501
Plutocracy,static,0,13,0.6600917785158131,80.57695893424501
Plutocracy,static,0,14,0.6600917785158131,80.57695893424501
Plutocracy,static,0,15,0.6600917785158131,80.57695893424501
Plutocracy,static,0,16,0.6600917785158131,80.57695893424501
Plutocracy,static,0,17,0.6600917785158131,80.57695893424501
Plutocracy,static,0,18,0.6600917785158131,80.57695893424501
Plutocracy,static,0,19,0.6600917785158131,80.57695893424501
Plutocracy,static,0,20,0.6600917785158131,80.57695893424501
Plutocracy,static,0,21,0.6600917785158131,80.57695893424501
Plutocracy,static,0,22,0.6600917785158131,80.57695893424501
Plutocracy,static,0,23,0.6600917785158131,80.57695893424501
Plutocracy,static,0,24,0.6600917785158131,80.57695893424501
Plutocracy,static,0,25,0.6600917785158131,80.57695893424501
Plutocracy,static,0,26,0.6600917785158131,80.57695893424501
Plutocracy,static,0,27,0.6600917785158131,80.57695893424501
Plutocracy,static,0,28,0.6600917785158131,80.57695893424501
Plutocracy,static,0,29,0.6600917785158131,80.57695893424501
Plutocracy,static,0,30,0.6600917785158131,80.57695893424501
Plutocracy,static,0,31,0.6600917785158131,80.57695893424501
Plutocracy,static,0,32,0.6600917785158131,80.57695893424501
Plutocracy,static,0,33,0.6600917785158131,80.57695893424501
Plutocracy,static,0,34,0.6600917785158131,80.57695893424501
Plutocracy,static,0,35,0.6600917785158131,80.57695893424501
Plutocracy,static,0,36,0.6600917785158131,80.57695893424501
Plutocracy,static,0,37,0.6600917785158131,80.57695893424501
Plutocracy,static,0,38,0.6600917785158131,80.57695893424501
Plutocracy,static,0,39,0.6600917785158131,80.57695893424501
Plutocracy,static,0,40,0.6600917785158131,80.57695893424501
Plutocracy,static,0,41,0.6600917785158131,80.57695893424501
Plutocracy,static,0,42,0.6600917785158131,80.57695893424501
Plutocracy,static,0,43,0.6600917785158131,80.57695893424501
Plutocracy,static,0,44,0.6600917785158131,80.57695893424501
Plutocracy,static,0,45,0.6600917785158131,80.57695893424501
Plutocracy,static,0,46,0.6600917785158131,80.57695893424501
Plutocracy,static,0,47,0.6600917785158131,80.57695893424501
Plutocracy,static,0,48,0.6600917785158131,80.57695893424501
Plutocracy,static,0,49,0.6600917785158131,80.57695893424501
Plutocracy,static,1,0,0.6899295703666114,70.3092232502147
Plutocracy,static,1,1,0.6899295703666114,70.3092232502147
Plutocracy,static,1,2,0.6899295703666114,70.3092232502147
Plutocracy,static,1,3,0.6899295703666114,70.3092232502147
Plutocracy,static,1,4,0.6899295703666114,70.3092232502147
Plutocracy,static,1,5,0.6899295703666114,70.3092232502147
Plutocracy,static,1,6,0.6899295703666114,70.3092232502147
Plutocracy,static,1,7,0.6899295703666114,70.3092232502147
Plutocracy,static,1,8,0.6899295703666114,70.3092232502147
Plutocracy,static,1,9,0.6899295703666114,70.3092232502147
Plutocracy,static,1,10,0.6899295703666114,70.3092232502147
Plutocracy,static,1,11,0.6899295703666114,70.3092232502147
Plutocracy,static,1,12,0.6899295703666114,70.3092232502147
Plutocracy,static,1,13,0.6899295703666114,70.3092232502147
Plutocracy,static,1,14,0.6899295703666114,70.3092232502147
Plutocracy,static,1,15,0.6899295703666114,70.3092232502147
Plutocracy,static,1,16,0.6899295703666114,70.3092232502147
Plutocracy,static,1,17,0.6899295703666114,70.3092232502147
Plutocracy,static,1,18,0.6899295703666114,70.3092232502147
Plutocracy,static,1,19,0.6899295703666114,70.3092232502147
Plutocracy,static,1,20,0.6899295703666114,70.3092232502147
Plutocracy,static,1,21,0.6899295703666114,70.3092232502147
Plutocracy,static,1,22,0.6899295703666114,70.3092232502147
Plutocracy,static,1,23,0.6899295703666114,70.3092232502147
Plutocracy,static,1,24,0.6899295703666114,70.3092232502147
Plutocracy,static,1,25,0.6899295703666114,70.3092232502147
Plutocracy,static,1,26,0.6899295703666114,70.3092232502147
Plutocracy,static,1,27,0.6899295703666114,70.3092232502147
Plutocracy,static,1,28,0.6899295703666114,70.3092232502147
Plutocracy,static,1,29,0.6899295703666114,70.3092232502147
Plutocracy,static,1,30,0.6899295703666114,70.3092232502147
Plutocracy,static,1,31,0.6899295703666114,70.3092232502147
Plutocracy,static,1,32,0.6899295703666114,70.3092232502147
Plutocracy,static,1,33,0.6899295703666114,70.3092232502147
Plutocracy,static,1,34,0.6899295703666114,70.3092232502147
Plutocracy,static,1,35,0.6899295703666114,70.3092232502147
Plutocracy,static,1,36,0.6899295703666114,70.3092232502147
Plutocracy,static,1,37,0.6899295703666114,70.3092232502147
Plutocracy,static,1,38,0.6899295703666114,70.3092232502147
Plutocracy,static,1,39,0.6899295703666114,70.3092232502147
Plutocracy,static,1,40,0.6899295703666114,70.3092232502147
Plutocracy,static,1,41,0.6899295703666114,70.3092232502147
Plutocracy,static,1,42,0.6899295703666114,70.3092232502147
Plutocracy,static,1,43,0.6899295703666114,70.3092232502147
Plutocracy,static,1,44,0.6899295703666114,70.3092232502147
Plutocracy,static,1,45,0.6899295703666114,70.3092232502147
Plutocracy,static,1,46,0.6899295703666114,70.3092232502147
Plutocracy,static,1,47,0.6899295703666114,70.3092232502147
Plutocracy,static,1,48,0.6899295703666114,70.3092232502147
Plutocracy,static,1,49,0.6899295703666114,70.3092232502147
Plutocracy,static,2,0,0.6668016802720305,80.93293045936981
Plutocracy,static,2,1,0.6668016802720305,80.93293045936981
Plutocracy,static,2,2,0.6668016802720305,80.93293045936981
Plutocracy,static,2,3,0.6668016802720305,80.93293045936981
Plutocracy,static,2,4,0.6668016802720305,80.93293045936981
Plutocracy,static,2,5,0.6668016802720305,80.93293045936981
Plutocracy,static,2,6,0.6668016802720305,80.93293045936981
Plutocracy,static,2,7,0.6668016802720305,80.93293045936981
Plutocracy,static,2,8,0.6668016802720305,80.93293045936981
Plutocracy,static,2,9,0.6668016802720305,80.93293045936981
Plutocracy,static,2,10,0.6668016802720305,80.93293045936981
Plutocracy,static,2,11,0.6668016802720305,80.93293045936981
Plutocracy,static,2,12,0.6668016802720305,80.93293045936981
Plutocracy,static,2,13,0.6668016802720305,80.93293045936981
