mechanism,dynamic_mode,run,timestep,alpha,friction
Random Assignment,static,0,0,0.5836327639424985,130.07154800206254
Random Assignment,static,0,1,0.5464774581599352,141.67872484284686
Random Assignment,static,0,2,0.06373683827870513,292.48506663376355
Random Assignment,static,0,3,0.508406665343954,153.57189636645015
Random Assignment,static,0,4,0.1790946520288128,256.44772241165975
Random Assignment,static,0,5,0.36579292510110695,198.1238888224304
Random Assignment,static,0,6,0.5425860095069825,142.89439866736026
Random Assignment,static,0,7,0.2793028961796842,225.1430463696851
Random Assignment,static,0,8,0.5091364995574876,153.34389892160297
Random Assignment,static,0,9,0.403659378829075,186.29455205620832
Random Assignment,static,0,10,0.32848927744571166,209.77740710260238
Random Assignment,static,0,11,0.339417032019524,206.36361795084
Random Assignment,static,0,12,0.16769615512887093,260.00856968367566
Random Assignment,static,0,13,0.5175278404336892,150.7224758050401
Random Assignment,static,0,14,0.44181526717282715,174.374797011937
Random Assignment,static,0,15,0.38098573729435237,193.37771181966755
Random Assignment,static,0,16,0.5843387924318382,129.85098737531507
Random Assignment,static,0,17,0.5122618844921073,152.36754050205585
Random Assignment,static,0,18,0.1790946520288128,256.44772241165975
Random Assignment,static,0,19,0.16769615512887093,260.00856968367566
Random Assignment,static,0,20,0.28215520560194096,224.25199570622087
Random Assignment,static,0,21,0.06373683827870513,292.48506663376355
Random Assignment,static,0,22,0.508406665343954,153.57189636645015
Random Assignment,static,0,23,0.5042317829736267,154.87611381107155
Random Assignment,static,0,24,0.46894112765121754,165.90078090845827
Random Assignment,static,0,25,0.21876243376850835,244.05565759516304
Random Assignment,static,0,26,0.5859709897630856,129.34109510922218
Random Assignment,static,0,27,0.5840271448489435,129.94834490018192
Random Assignment,static,0,28,0.0,312.3962135774279
Random Assignment,static,0,29,0.5122618844921073,152.36754050205585
Random Assignment,static,0,30,0.4070657761768548,185.2304064228217
Random Assignment,static,0,31,0.3242747408252218,211.0940123848268
Random Assignment,static,0,32,0.27716092815809035,225.81218906923496
Random Assignment,static,0,33,0.5091364995574876,153.34389892160297
Random Assignment,static,0,34,0.2692538571246593,228.28232812056655
Random Assignment,static,0,35,0.31969446834596593,212.52487216449927
Random Assignment,static,0,36,0.21930756057348266,243.88536204536948
Random Assignment,static,0,37,0.4060877810366782,185.53592840151
Random Assignment,static,0,38,0.38286331399707396,192.79116396703614
Random Assignment,static,0,39,0.339417032019524,206.36361795084
Random Assignment,static,0,40,0.403659378829075,186.29455205620832
Random Assignment,static,0,41,0.411424251637447,183.86883519196257
Random Assignment,static,0,42,0.13121824112168057,271.4041318987249
Random Assignment,static,0,43,0.13121824112168057,271.4041318987249
Random Assignment,static,0,44,0.5826554886905929,130.3768450903808
Random Assignment,static,0,45,0.4060877810366782,185.53592840151
Random Assignment,static,0,46,0.38774207542627814,191.26705736960514
Random Assignment,static,0,47,0.40772340709023747,185.0249650155495
Random Assignment,static,0,48,0.398555387776399,187.88901953519735
Random Assignment,static,0,49,0.5766965532022473,132.23839397389213
Random Assignment,static,1,0,0.7311903621234324,63.828431079582565
Random Assignment,static,1,1,0.5505996020606202,106.70942661729293
Random Assignment,static,1,2,0.7242269202772298,65.48188953244173
Random Assignment,static,1,3,0.7072807632031199,69.50572821401934
Random Assignment,static,1,4,0.13704337536175903,204.90771043590115
Random Assignment,static,1,5,0.35206511180955047,153.85113302340503
Random Assignment,static,1,6,0.7300751194717767,64.09324371535905
Random Assignment,static,1,7,0.7300751194717767,64.09324371535905
Random Assignment,static,1,8,0.566095404671813,103.02997235068105
Random Assignment,static,1,9,0.7300751194717767,64.09324371535905
Random Assignment,static,1,10,0.5992667850947188,95.15347958106439
Random Assignment,static,1,11,0.7032102702208313,70.47226045159944
Random Assignment,static,1,12,0.6789020020196428,76.2442209876871
Random Assignment,static,1,13,0.7238392742468376,65.57393548038326
Random Assignment,static,1,14,0.722694722701062,65.84570746755472
Random Assignment,static,1,15,0.4888102578467808,121.38121044826042
Random Assignment,static,1,16,0.48728075087163625,121.7443895043387
Random Assignment,static,1,17,0.3813432722785006,146.8990792860779
Random Assignment,static,1,18,0.7073883303366382,69.48018656520631
Random Assignment,static,1,19,0.5175039519800874,114.5679373347147
Random Assignment,static,1,20,0.7300751194717767,64.09324371535905
Random Assignment,static,1,21,0.6423804455210143,84.91620786399918
Random Assignment,static,1,22,0.6789020020196428,76.2442209876871
Random Assignment,static,1,23,0.5373233965576849,109.86184099735912
Random Assignment,static,1,24,0.6805473257121035,75.85354143193378
Random Assignment,static,1,25,0.6857656416540541,74.61446041503505
Random Assignment,static,1,26,0.566095404671813,103.02997235068105
Random Assignment,static,1,27,0.730257904091755,64.04984179119126
Random Assignment,static,1,28,0.7026993284376797,70.59358278456781
Random Assignment,static,1,29,0.7102464776612096,68.80152392140084
Random Assignment,static,1,30,0.7156877878799698,67.50949325976126
Random Assignment,static,1,31,0.722694722701062,65.84570746755472
Random Assignment,static,1,32,0.5175039519800874,114.5679373347147
Random Assignment,static,1,33,0.35206511180955047,153.85113302340503
Random Assignment,static,1,34,0.4879372282351765,121.5885099738091
Random Assignment,static,1,35,0.4046197166774812,141.37212370950638
Random Assignment,static,1,36,0.7184455595240268,66.85466466542066
Random Assignment,static,1,37,0.730257904091755,64.04984179119126
Random Assignment,static,1,38,0.722694722701062,65.84570746755472
Random Assignment,static,1,39,0.6857656416540541,74.61446041503505
Random Assignment,static,1,40,0.5054973813173554,117.41887889358924
Random Assignment,static,1,41,0.7165273198195387,67.31014770441891
Random Assignment,static,1,42,0.679431448430317,76.11850475964931
Random Assignment,static,1,43,0.7173564386867213,67.11327471694422
Random Assignment,static,1,44,0.2415081577306919,180.10271008565044
Random Assignment,static,1,45,0.37733802071037126,147.8501200511792
Random Assignment,static,1,46,0.7102464776612096,68.80152392140084
Random Assignment,static,1,47,0.37998454869828113,147.2217060902406
Random Assignment,static,1,48,0.7312042308262776,63.82513797762866
Random Assignment,static,1,49,0.5842038159105827,98.73015822256824
Random Assignment,static,2,0,0.5709508899425,131.91783600902588
Random Assignment,static,2,1,0.43222751800955317,174.57049884013406
Random Assignment,static,2,2,0.6031181578405821,122.0275081375407
Random Assignment,static,2,3,0.21852441464991101,240.276848725906
Random Assignment,static,2,4,0.2926860119131858,217.47470977115333
Random Assignment,static,2,5,0.5811531945439623,128.78097844708043
Random Assignment,static,2,6,0.3943600508356414,186.21344182177967
Random Assignment,static,2,7,0.6025976788569277,122.18753751320509
Random Assignment,static,2,8,0.5624802837563188,134.5222559030933
Random Assignment,static,2,9,0.5459570052793181,139.60259540121817
Random Assignment,static,2,10,0.6093566439770396,120.10938834238837
Random Assignment,static,2,11,0.39985740959600347,184.52319318955423
Random Assignment,static,2,12,0.5944037181010278,124.70689845796113
Random Assignment,static,2,13,0.5684058158764432,132.70035869793648
Random Assignment,static,2,14,0.6019864469017886,122.37547030442033
