Section,Location,Citation_Type,Suggested_Paper_Gist,Full_Citation,Priority
Introduction,After 'democratic theory emphasizes popular sovereignty',Supporting foundational theory,Rousseau's social contract theory - legitimacy derives from general will and popular sovereignty,"Rousseau, Jean-Jacques. 1762/1997. The Social Contract and Other Later Political Writings. Edited by Victor Gourevitch. Cambridge: Cambridge University Press.",High
Introduction,After discussion of algorithmic governance,Recent work on algorithmic legitimacy,"Algorithmic legitimacy requires procedural fairness, transparency, and accountability in automated decision-making","Barocas, Solon, and Andrew D. Selbst. 2019. 'Fairness and Abstraction in Sociotechnical Systems.' In Proceedings of the Conference on Fairness, Accountability, and Transparency, 59–68.",High
Introduction,After mentioning epistemic democrats and cognitive diversity,Diversity trumps ability literature,"Under certain conditions, cognitively diverse problem solvers outperform homogeneous high-ability groups","Hong, Lu, and Scott E. Page. 2004. 'Groups of Diverse Problem Solvers Can Outperform Groups of High-Ability Problem Solvers.' Proceedings of the National Academy of Sciences 101(46): 16385–89.",High
Literature Review - Constitutional Political Economy,After discussing Buchanan's constitutional vs ordinary politics,Additional public choice foundational work,Develops calculus of consent framework showing decision costs vs external costs trade-offs,"Buchanan, James M., and Gordon Tullock. 1962. The Calculus of Consent: Logical Foundations of Constitutional Democracy. Ann Arbor: University of Michigan Press.",High
Literature Review - Constitutional Political Economy,When discussing constitutional constraints on majority rule,Constitutional economics framework,"Constitutional rules establish framework for collective choice, distinguishing levels of collective action","Brennan, Geoffrey, and James M. Buchanan. 1985. The Reason of Rules: Constitutional Political Economy. Cambridge: Cambridge University Press.",Medium
Literature Review - Social Choice,After mentioning quantitative impossibility results,Empirical frequency of Arrow paradoxes,Quantifies how often Arrow's impossibility manifests in real voting scenarios with finite electorates,"Keller, Timothy P., and Gilbert G. L. Meyer. 2012. 'Quantitative Versions of Arrow's Impossibility Theorem.' International Journal of Game Theory 41: 791–802.",Medium
Literature Review - Social Choice,When discussing strategic manipulation in voting,Strategic voting behavior,Establishes that all non-dictatorial voting systems with 3+ alternatives are manipulable,"Gibbard, Allan. 1973. 'Manipulation of Voting Schemes: A General Result.' Econometrica 41(4): 587–601.",High
Literature Review - Social Choice,After discussing Sen's capability approach,Capability and functionings,Development should measure capabilities (freedoms to achieve valued functionings) not just utility,"Sen, Amartya. 1999. Development as Freedom. New York: Oxford University Press.",Medium
Literature Review - Stakeholder Theory,After mentioning Business Roundtable 2019 statement,Corporate purpose redefinition,"Business Roundtable redefines corporate purpose to serve all stakeholders, not just shareholders",Business Roundtable. 2019. 'Statement on the Purpose of a Corporation.' August 19. https://opportunity.businessroundtable.org/ourcommitment/,High
Literature Review - Stakeholder Theory,When discussing shareholder primacy doctrine,Friedman doctrine on corporate responsibility,Corporate social responsibility is to increase profits; shareholder wealth maximization is sole obligation,"Friedman, Milton. 1970. 'The Social Responsibility of Business Is to Increase Its Profits.' New York Times Magazine, September 13.",High
Literature Review - Stakeholder Theory,After discussing normative vs derivatively legitimate stakeholders,Stakeholder legitimacy typology,Distinguishes stakeholders by moral obligation owed vs ability to affect organization,"Phillips, Robert Allen. 2003. Stakeholder Theory and Organizational Ethics. San Francisco: Berrett-Koehler.",Medium
Literature Review - Common Pool Resources,After mentioning Ostrom's design principles,Empirical validation of Ostrom's principles,Meta-analysis showing Ostrom's design principles predict commons sustainability across diverse contexts,"Cox, Michael, Gwen Arnold, and Sergio Villamayor Tomás. 2010. 'A Review of Design Principles for Community-Based Natural Resource Management.' Ecology and Society 15(4): 38.",Medium
Literature Review - Common Pool Resources,When discussing polycentric governance,Polycentric systems theory,Polycentric systems with multiple governing authorities at different scales can achieve better outcomes,"Ostrom, Vincent, Charles M. Tiebout, and Robert Warren. 1961. 'The Organization of Government in Metropolitan Areas: A Theoretical Inquiry.' American Political Science Review 55(4): 831–42.",Medium
Literature Review - Deliberative Democracy,After mentioning Irish Citizens' Assembly,Case study of citizens' assembly,Irish Citizens' Assembly on abortion demonstrates how random selection plus deliberation shifts preferences,"Farrell, David M., Jane Suiter, and Clodagh Harris. 2019. ''Systematizing' Constitutional Deliberation: The 2016–18 Citizens' Assembly in Ireland.' Irish Political Studies 34(1): 113–23.",High
Literature Review - Deliberative Democracy,When discussing French Climate Convention,Climate citizens' assembly,Citizens' Convention on Climate in France generated 149 policy proposals through sortition and deliberation,"Courant, Dimitri, and Théo Bourgeron. 2021. 'The French Citizens' Convention for Climate: Proposals and Political Outcomes.' French Politics 19: 321–38.",Medium
Literature Review - Deliberative Democracy,After mentioning equal voice vs stakes-weighting debate,Democratic equality justification,Equal political authority derives from equal moral status; competence doesn't justify unequal voice,"Christiano, Thomas. 2008. The Constitution of Equality: Democratic Authority and Its Limits. Oxford: Oxford University Press.",High
